# === Measurement Header ===
# Radar Frequency: 17GHz
# Site Name: fortress_metalplate
# Radar Angle: 0
# Measurement ID: 1
# Polarization: h
# Timestamp: 2025-01-17T15:31:50.496784
# Device Number: 600230001
# Frontend Connected: 4262920193
# Firmware Version: 66821
# Firmware Revision: 129043
# Firmware Date: 420087783
# Min Frequency: 16500000
# Max Frequency: 18500000
# Signal Type: 3
# TX Channel Selection: 1
# RX Channel Selection: 15
# TX Power Setting: 15
# RX Power Setting: 0
# Ramp Init: 1000
# Ramp Time: 102400
# Ramp Reset: 27100
# Ramp Delay: 0
# Sensor temperature: {'FeSensor_1': 23, 'FeSensor_2': 96811, 'FeSensor_3': 16387, 'FeSensor_4': 1347}
# Radar Cube: 2
# Processing: 1
# Range Window Function: 2
# Min Range Bin: 0
# Max Range Bin: 1023
# Trigger Threshold: 90
# RX Channels: 15
# ==========================

# Comments: 
# ==========================

# Chirp Number: 1
# Timestamp: 2025-01-17T15:31:50.496810
-2892, 178, -16, 5174
-2990, 216, 1064, 5248
-2942, 276, 2046, 4928
-2878, 352, 2928, 4402
-2832, 420, 3670, 3832
-2764, 482, 4264, 3208
-2752, 586, 4644, 2520
-2756, 696, 4896, 1898
-2736, 780, 5026, 1300
-2718, 852, 5052, 730
-2654, 994, 5016, 174
-2642, 1116, 4970, -342
-2686, 1260, 4912, -830
-2728, 1418, 4804, -1276
-2680, 1534, 4592, -1690
-2592, 1632, 4274, -2002
-2506, 1770, 3956, -2282
-2366, 1854, 3628, -2550
-2176, 1914, 3270, -2736
-2068, 2000, 2924, -2912
-1992, 2096, 2676, -3180
-1888, 2106, 2390, -3368
-1864, 2180, 2092, -3570
-1828, 2296, 1810, -3742
-1726, 2336, 1450, -3870
-1620, 2414, 1076, -4024
-1444, 2420, 690, -4066
-1284, 2316, 298, -3910
-1142, 2208, -78, -3720
-1036, 2138, -462, -3588
-970, 2124, -856, -3494
-890, 2080, -1232, -3420
-834, 2006, -1506, -3248
-756, 1926, -1770, -3030
-702, 1870, -2066, -2828
-680, 1832, -2346, -2664
-650, 1786, -2626, -2450
-654, 1678, -2842, -2126
-644, 1600, -3014, -1774
-648, 1554, -3152, -1458
-672, 1534, -3324, -1120
-690, 1494, -3470, -812
-702, 1448, -3552, -424
-772, 1414, -3536, -22
-792, 1388, -3500, 352
-806, 1362, -3492, 738
-830, 1376, -3376, 1140
-832, 1378, -3210, 1546
-846, 1364, -3008, 1910
-834, 1292, -2728, 2148
-860, 1224, -2380, 2328
-896, 1250, -2070, 2628
-938, 1234, -1780, 2926
-1016, 1236, -1370, 3196
-1108, 1280, -944, 3310
-1156, 1312, -520, 3348
-1232, 1354, -82, 3364
-1320, 1388, 384, 3294
-1372, 1456, 798, 3264
-1406, 1542, 1180, 3142
-1386, 1536, 1484, 2924
-1414, 1580, 1818, 2746
-1466, 1648, 2170, 2548
-1502, 1770, 2516, 2322
-1538, 1910, 2930, 2146
-1522, 2006, 3230, 1858
-1484, 2088, 3420, 1488
-1458, 2166, 3604, 1086
-1450, 2238, 3750, 680
-1420, 2336, 3880, 252
-1392, 2522, 4030, -180
-1264, 2620, 4036, -564
-1166, 2668, 3938, -960
-1104, 2798, 3876, -1414
-1018, 2882, 3742, -1840
-884, 2794, 3424, -2118
-748, 2830, 3150, -2380
-626, 2958, 2986, -2824
-550, 3056, 2726, -3232
-426, 3054, 2334, -3492
-296, 3012, 1902, -3614
-144, 3018, 1464, -3814
48, 3054, 996, -4022
224, 3094, 560, -4106
380, 3120, 84, -4152
554, 3084, -422, -4152
680, 2968, -896, -4010
770, 2816, -1368, -3806
886, 2656, -1812, -3626
962, 2488, -2152, -3358
1012, 2348, -2478, -3026
1088, 2248, -2824, -2730
1176, 2200, -3160, -2444
1246, 2122, -3374, -2096
1240, 1988, -3512, -1742
1262, 1902, -3674, -1378
1274, 1764, -3760, -992
1258, 1624, -3744, -618
1180, 1504, -3696, -262
1128, 1416, -3724, 48
1078, 1340, -3672, 320
1008, 1270, -3590, 630
948, 1250, -3548, 918
880, 1188, -3444, 1222
804, 1176, -3350, 1610
732, 1168, -3148, 1914
682, 1126, -2924, 2130
624, 1118, -2692, 2350
592, 1154, -2442, 2590
518, 1178, -2130, 2760
496, 1202, -1804, 2922
446, 1196, -1498, 3068
438, 1184, -1172, 3180
464, 1166, -838, 3296
418, 1130, -530, 3436
378, 1188, -142, 3562
368, 1238, 240, 3630
344, 1258, 622, 3542
314, 1274, 1056, 3366
342, 1250, 1482, 3224
324, 1208, 1870, 3056
304, 1252, 2348, 2938
282, 1288, 2798, 2776
276, 1308, 3120, 2470
228, 1344, 3424, 2078
176, 1474, 3790, 1708
146, 1544, 4110, 1288
140, 1600, 4362, 808
182, 1664, 4528, 346
256, 1768, 4686, -168
308, 1840, 4714, -764
358, 1862, 4536, -1310
436, 1904, 4330, -1838
578, 1910, 4028, -2296
604, 1928, 3668, -2718
682, 1956, 3340, -3170
830, 2010, 2960, -3558
966, 2070, 2556, -3892
1098, 2100, 2120, -4192
1198, 2074, 1616, -4398
1292, 2014, 1092, -4454
1386, 1892, 582, -4420
1488, 1792, 64, -4300
1614, 1728, -450, -4224
1664, 1630, -910, -4158
1764, 1566, -1338, -4056
1872, 1516, -1772, -3964
1992, 1402, -2198, -3804
2090, 1322, -2680, -3610
2128, 1210, -3102, -3350
2104, 1060, -3400, -3010
2058, 912, -3704, -2628
2058, 770, -3972, -2256
2008, 656, -4122, -1830
1946, 540, -4242, -1398
1864, 408, -4302, -956
1796, 342, -4366, -554
1748, 298, -4368, -164
1706, 216, -4380, 278
1710, 112, -4526, 752
1686, 52, -4618, 1216
1568, -6, -4516, 1646
1418, 2, -4262, 2014
1302, 4, -3938, 2372
1232, -22, -3686, 2822
1174, -32, -3372, 3248
1110, 0, -2952, 3474
1056, 44, -2492, 3688
1014, 68, -2030, 3932
996, 84, -1578, 4202
970, 78, -1078, 4318
920, 86, -590, 4322
922, 98, -78, 4386
914, 90, 438, 4350
928, 74, 982, 4298
914, 114, 1546, 4180
864, 94, 1992, 3940
826, 18, 2428, 3620
810, -18, 2906, 3276
752, -54, 3310, 2902
664, -66, 3568, 2478
